onset_time,offset_time,duration_s,subject_id
1628.52698,1628.5874,0.06041999999979453,subject-16
1630.02759,1630.09448,0.06689000000005763,subject-16
199.7856,199.93233,0.14673000000001934,subject-17
200.32832,200.46954,0.14122000000000412,subject-17
207.85728,207.97107,0.1137899999999945,subject-17
228.36711,228.54149,0.17438000000001352,subject-17
230.53078,230.71852,0.18774000000001934,subject-17
238.48848,238.69635,0.20786999999998557,subject-17
264.96036,265.11441,0.15405000000004065,subject-17
265.79767,265.95853,0.16086000000001377,subject-17
267.68643,267.86072,0.1742900000000418,subject-17
267.86755,268.10944,0.24189000000001215,subject-17
273.78204,274.18384,0.4017999999999802,subject-17
282.48282,282.6171,0.13427999999998974,subject-17
282.71759,282.89832,0.18073000000003958,subject-17
283.62186,283.82278,0.20091999999999643,subject-17
283.86255,284.06351,0.20096000000000913,subject-17
291.84741,291.98145,0.1340399999999704,subject-17
301.86813,302.05563,0.1875,subject-17
303.47571,303.64316,0.16745000000003074,subject-17
318.76785,318.96872,0.20087000000000899,subject-17
328.85571,329.02301,0.16730000000001155,subject-17
339.24475,339.42557,0.18081999999998288,subject-17
366.15851,366.35251,0.19400000000001683,subject-17
369.90945,370.07159,0.16214000000002216,subject-17
378.38922,378.51114,0.1219199999999887,subject-17
386.08914,386.216,0.12686000000002196,subject-17
387.05704,387.21796,0.16092000000003281,subject-17
387.29163,387.47253,0.18090000000000828,subject-17
395.22919,395.47693,0.24773999999996477,subject-17
403.68903,403.93445,0.24542000000002417,subject-17
412.57773,412.77197,0.19424000000003616,subject-17
413.89731,414.08286,0.1855499999999779,subject-17
414.12479,414.33936,0.2145699999999806,subject-17
431.11853,431.35953,0.24099999999998545,subject-17
432.87354,433.00717,0.13362999999998237,subject-17
437.61566,437.81009,0.1944300000000112,subject-17
438.7547,438.99719,0.24248999999997523,subject-17
440.89117,441.12134,0.23016999999998689,subject-17
446.33734,446.53806,0.2007199999999898,subject-17
446.90634,447.12057,0.21422999999998638,subject-17
454.43536,454.61636,0.18099999999998317,subject-17
455.70135,455.87555,0.1741999999999848,subject-17
457.26215,457.48312,0.2209699999999657,subject-17
458.08594,458.2937,0.2077600000000075,subject-17
462.81506,463.03601,0.22094999999995935,subject-17
471.08725,471.2883,0.20105000000000928,subject-17
473.71307,473.92749,0.21441999999996142,subject-17
480.55203,480.73297,0.18094000000002097,subject-17
482.30704,482.46106,0.1540200000000027,subject-17
489.23981,489.43405,0.19424000000003616,subject-17
491.36322,491.55075,0.1875299999999811,subject-17
497.33127,497.55896,0.2276899999999955,subject-17
498.59695,498.80746,0.2105099999999993,subject-17
525.78564,526.00665,0.22101000000009208,subject-17
527.15881,527.33917,0.18035999999995056,subject-17
541.56689,541.80127,0.23438000000010106,subject-17
543.9917,544.16571,0.17400999999995292,subject-17
544.17407,544.42029,0.2462199999999939,subject-17
558.64081,558.84839,0.2075800000000072,subject-17
560.26837,560.50269,0.23432000000002517,subject-17
566.672,566.91309,0.2410899999999856,subject-17
568.48724,568.69714,0.2098999999999478,subject-17
577.61707,577.70691,0.08983999999998105,subject-17
584.06055,584.22809,0.1675399999999172,subject-17
585.94952,586.11053,0.16101000000003296,subject-17
603.48578,603.71674,0.23095999999998185,subject-17
621.03497,621.263,0.22802999999998974,subject-17
629.05316,629.19464,0.14148000000000138,subject-17
631.34381,631.47076,0.12695000000007894,subject-17
636.02606,636.20685,0.18079000000000178,subject-17
637.67365,637.85474,0.18109000000004016,subject-17
1143.14551,1143.26599,0.12048000000004322,subject-18
1154.27112,1154.41187,0.1407499999997981,subject-18
1161.70605,1161.85364,0.14759000000003653,subject-18
1163.09949,1163.24683,0.1473399999999856,subject-18
1172.20203,1172.33643,0.13440000000014152,subject-18
1186.02087,1186.14124,0.1203699999998662,subject-18
1188.86768,1189.01501,0.14733000000001084,subject-18
1194.13916,1194.28076,0.14160000000015316,subject-18
1195.87402,1196.02783,0.15381000000002132,subject-18
1228.34717,1228.4812,0.1340299999999388,subject-18
1234.92493,1235.0791,0.1541700000000219,subject-18
1236.11719,1236.28455,0.16736000000014428,subject-18
1245.86938,1245.98376,0.11437999999998283,subject-18
1253.47241,1253.5863,0.11388999999985572,subject-18
1255.56213,1255.69592,0.13378999999986263,subject-18
1260.71997,1260.88745,0.1674799999998413,subject-18
1273.85522,1273.99548,0.14026000000012573,subject-18
1292.77759,1292.90491,0.12732000000005428,subject-18
1300.20605,1300.32654,0.12049000000001797,subject-18
1302.47009,1302.57715,0.10706000000004678,subject-18
1308.80664,1308.92725,0.12060999999994237,subject-18
1309.65735,1309.76453,0.10717999999997119,subject-18
1310.74243,1310.84973,0.10729999999989559,subject-18
1314.8418,1314.90845,0.06664999999998145,subject-18
1316.79102,1316.92493,0.1339100000000144,subject-18
1317.85571,1317.98999,0.13427999999998974,subject-18
1325.17725,1325.27771,0.1004600000001119,subject-18
1326.08813,1326.22205,0.13391999999998916,subject-18
1327.90344,1328.01062,0.10717999999997119,subject-18
1332.02283,1332.11646,0.09362999999984822,subject-18
1342.32458,1342.46533,0.14075000000002547,subject-18
1343.65771,1343.79834,0.14063000000010106,subject-18
1350.00757,1350.14136,0.13379000000009,subject-18
1370.35022,1370.45691,0.10669000000007145,subject-18
1371.01331,1371.16064,0.14733000000001084,subject-18
1379.64062,1379.7948,0.15417999999999665,subject-18
1387.03552,1387.16931,0.13379000000009,subject-18
1388.51575,1388.64319,0.12743999999997868,subject-18
1390.47852,1390.60535,0.12683000000015454,subject-18
1396.07812,1396.21838,0.14026000000012573,subject-18
1397.09631,1397.19617,0.09986000000003514,subject-18
1397.5719,1397.71912,0.1472200000000612,subject-18
