stimuliId,partID,condition,obj,count_per_obj_per_part
40,2,non-restrictive,shampoo,0
40,2,non-restrictive,mat,0
40,2,non-restrictive,buckle,0
21,2,restrictive,cup,0
21,2,restrictive,kitten,0
21,2,restrictive,block,0
21,2,restrictive,crayon,0
19,2,restrictive,stick,0
19,2,restrictive,feather,0
19,2,restrictive,leaf,0
19,2,restrictive,football,0
9,2,restrictive,television,0
9,2,restrictive,piano,0
9,2,restrictive,table,0
9,2,restrictive,telephone,0
28,2,non-restrictive,lamp,0
28,2,non-restrictive,switch,0
28,2,non-restrictive,frame,0
28,2,non-restrictive,picture,0
7,2,restrictive,knife,0
7,2,restrictive,weighing-scales,0
7,2,restrictive,jug,0
7,2,restrictive,mushrooms,0
7,3,non-restrictive,knife,0
7,3,non-restrictive,weighing-scales,0
7,3,non-restrictive,jug,0
7,3,non-restrictive,mushrooms,0
37,3,non-restrictive,clips,0
37,3,non-restrictive,lego,0
37,3,non-restrictive,papers,0
37,3,non-restrictive,boxes,0
11,3,non-restrictive,mirror,0
11,3,non-restrictive,dog,0
11,3,non-restrictive,wastebin,0
11,3,non-restrictive,washing-machine,0
36,3,restrictive,mascara,0
36,3,restrictive,brush,0
36,3,restrictive,mirror,0
36,3,restrictive,pot,0
42,3,restrictive,cone,0
42,3,restrictive,shell,0
42,3,restrictive,orange,0
42,3,restrictive,stone,0
31,3,non-restrictive,cap,0
31,3,non-restrictive,watch,0
31,3,non-restrictive,headphones,0
31,3,non-restrictive,dice,0
45,3,non-restrictive,hammer,0
45,3,non-restrictive,dough,0
45,3,non-restrictive,glass,0
45,3,non-restrictive,ladle,0
22,3,restrictive,vase,0
22,3,restrictive,cushion,0
22,3,restrictive,flower,14
22,3,restrictive,magazine,0
9,3,non-restrictive,television,0
9,3,non-restrictive,piano,0
9,3,non-restrictive,table,0
9,3,non-restrictive,telephone,0
18,3,restrictive,stone,0
18,3,restrictive,rope,0
18,3,restrictive,wood,0
18,3,restrictive,bucket,0
10,3,restrictive,cup,0
10,3,restrictive,bag,0
10,3,restrictive,book,0
10,3,restrictive,door,0
16,3,restrictive,hat,0
16,3,restrictive,wallet,0
16,3,restrictive,magnifying-glass,0
16,3,restrictive,folder,0
21,3,non-restrictive,cup,0
21,3,non-restrictive,kitten,0
21,3,non-restrictive,block,0
21,3,non-restrictive,crayon,0
1,3,non-restrictive,ball,0
1,3,non-restrictive,cake,0
1,3,non-restrictive,toy-car,0
1,3,non-restrictive,toy-train,0
41,3,non-restrictive,iron,0
41,3,non-restrictive,blouse,0
41,3,non-restrictive,pin,0
41,3,non-restrictive,toothbrish,0
35,3,non-restrictive,puzzle,0
35,3,non-restrictive,notebook,0
35,3,non-restrictive,pillow,0
35,3,non-restrictive,radio,0
25,3,non-restrictive,glass,0
25,3,non-restrictive,rabbit,0
25,3,non-restrictive,plate,0
25,3,non-restrictive,potato,0
15,3,non-restrictive,bird,0
15,3,non-restrictive,ball,0
15,3,non-restrictive,hen,0
15,3,non-restrictive,dog,0
44,3,restrictive,safe,0
44,3,restrictive,pan,0
44,3,restrictive,bolt,0
44,3,restrictive,handle,0
27,3,non-restrictive,package,0
27,3,non-restrictive,coin,0
27,3,non-restrictive,coaster,0
27,3,non-restrictive,candle,0
12,3,restrictive,bell,0
12,3,restrictive,drum,0
12,3,restrictive,duck,0
12,3,restrictive,bricks,0
5,3,non-restrictive,shuttle-cock,0
5,3,non-restrictive,ball,0
5,3,non-restrictive,paper-plane,0
5,3,non-restrictive,acorns,0
34,3,restrictive,box,0
34,3,restrictive,gift,0
34,3,restrictive,suitcase,6
34,3,restrictive,envelope,0
49,3,non-restrictive,pouch,0
49,3,non-restrictive,balloon,0
49,3,non-restrictive,pump,0
49,3,non-restrictive,flag,0
48,3,restrictive,carpet,0
48,3,restrictive,dustpan,0
48,3,restrictive,roller,0
48,3,restrictive,footstool,0
3,3,non-restrictive,car,0
3,3,non-restrictive,houses,0
3,3,non-restrictive,dustbin,0
3,3,non-restrictive,man,0
46,3,restrictive,peeler,0
46,3,restrictive,pot,0
46,3,restrictive,carrot,0
46,3,restrictive,laddle,0
32,3,restrictive,bottle,0
32,3,restrictive,lemon,0
32,3,restrictive,sponge,0
32,3,restrictive,seed,0
13,3,non-restrictive,car,0
13,3,non-restrictive,boat,0
13,3,non-restrictive,birds,0
13,3,non-restrictive,sun,0
20,3,restrictive,bread,0
20,3,restrictive,spoon,0
20,3,restrictive,spatula,0
20,3,restrictive,bowl,0
50,3,restrictive,rubberband,0
50,3,restrictive,scissors,0
50,3,restrictive,stamp,0
50,3,restrictive,envelope,0
43,3,non-restrictive,apple,0
43,3,non-restrictive,chalk,0
43,3,non-restrictive,ruler,0
43,3,non-restrictive,shirt,0
26,3,restrictive,peach,0
26,3,restrictive,rope,0
26,3,restrictive,canvas,0
26,3,restrictive,keyboard,0
33,3,non-restrictive,kettle,0
33,3,non-restrictive,beer,0
33,3,non-restrictive,mug,0
33,3,non-restrictive,biscuit,0
8,3,restrictive,child,0
8,3,restrictive,tv-monitor,0
8,3,restrictive,toy-bear,0
8,3,restrictive,microscope,0
24,3,restrictive,scarf,0
24,3,restrictive,pencil,0
24,3,restrictive,needle,0
