stimuliId,condition,obj,count_per_obj_per_part,percentages,countOfNonZeroParticipants,is_target
36,restrictive,mascara,95,0.30944625407166126,5.0,1
36,restrictive,mirror,33,0.10749185667752444,5.0,0
36,restrictive,pot,155,0.504885993485342,5.0,0
37,non-restrictive,boxes,72,0.4768211920529801,4.0,0
37,non-restrictive,clips,79,0.5231788079470199,4.0,0
37,non-restrictive,lego,0,0.0,4.0,1
37,non-restrictive,papers,0,0.0,4.0,0
37,restrictive,boxes,0,0.0,2.0,0
37,restrictive,clips,0,0.0,2.0,0
37,restrictive,lego,88,0.8461538461538461,2.0,1
37,restrictive,papers,16,0.15384615384615385,2.0,0
38,non-restrictive,banana,0,0.0,1.0,1
38,non-restrictive,key,0,0.0,1.0,0
38,non-restrictive,marker,0,0.0,1.0,0
38,non-restrictive,mitten,78,1.0,1.0,0
38,restrictive,banana,24,0.07164179104477612,6.0,1
38,restrictive,key,94,0.28059701492537314,6.0,0
38,restrictive,marker,140,0.417910447761194,6.0,0
38,restrictive,mitten,77,0.2298507462686567,6.0,0
39,non-restrictive,apron,136,0.5333333333333333,5.0,1
39,non-restrictive,broom,73,0.28627450980392155,5.0,0
39,non-restrictive,cloth,42,0.16470588235294117,5.0,0
39,non-restrictive,mop,4,0.01568627450980392,5.0,0
39,restrictive,apron,4,0.10810810810810811,1.0,1
39,restrictive,broom,0,0.0,1.0,0
39,restrictive,cloth,33,0.8918918918918919,1.0,0
39,restrictive,mop,0,0.0,1.0,0
40,non-restrictive,buckle,23,0.15333333333333332,3.0,0
40,non-restrictive,mat,70,0.4666666666666667,3.0,0
40,non-restrictive,shampoo,57,0.38,3.0,0
40,non-restrictive,shoelace,0,0.0,3.0,1
40,restrictive,buckle,25,0.14534883720930233,2.0,0
40,restrictive,mat,42,0.2441860465116279,2.0,0
40,restrictive,shampoo,105,0.6104651162790697,2.0,0
40,restrictive,shoelace,0,0.0,2.0,1
41,non-restrictive,blouse,47,0.17803030303030304,5.0,1
41,non-restrictive,iron,184,0.696969696969697,5.0,0
41,non-restrictive,pin,0,0.0,5.0,0
41,non-restrictive,toothbrish,33,0.125,5.0,0
41,restrictive,blouse,0,0.0,2.0,1
41,restrictive,iron,0,0.0,2.0,0
41,restrictive,pin,93,1.0,2.0,0
41,restrictive,toothbrish,0,0.0,2.0,0
42,non-restrictive,cone,0,0.0,2.0,0
42,non-restrictive,orange,20,0.1941747572815534,2.0,1
42,non-restrictive,shell,0,0.0,2.0,0
42,non-restrictive,stone,83,0.8058252427184466,2.0,0
42,restrictive,cone,106,0.21073558648111332,6.0,0
42,restrictive,orange,290,0.5765407554671969,6.0,1
42,restrictive,shell,107,0.21272365805168986,6.0,0
42,restrictive,stone,0,0.0,6.0,0
43,non-restrictive,apple,173,0.3221601489757914,9.0,0
43,non-restrictive,chalk,79,0.14711359404096835,9.0,0
43,non-restrictive,ruler,166,0.3091247672253259,9.0,0
43,non-restrictive,shirt,119,0.22160148975791433,9.0,1
43,restrictive,apple,26,0.26262626262626265,2.0,0
43,restrictive,chalk,0,0.0,2.0,0
43,restrictive,ruler,0,0.0,2.0,0
43,restrictive,shirt,73,0.7373737373737373,2.0,1
44,non-restrictive,bolt,39,0.31451612903225806,2.0,0
44,non-restrictive,handle,24,0.1935483870967742,2.0,0
44,non-restrictive,pan,61,0.49193548387096775,2.0,0
44,non-restrictive,safe,0,0.0,2.0,1
44,restrictive,bolt,68,0.21864951768488747,7.0,0
44,restrictive,handle,12,0.03858520900321544,7.0,0
44,restrictive,pan,122,0.39228295819935693,7.0,0
44,restrictive,safe,109,0.3504823151125402,7.0,1
45,non-restrictive,dough,165,0.9322033898305084,4.0,1
45,non-restrictive,glass,0,0.0,4.0,0
45,non-restrictive,hammer,8,0.04519774011299435,4.0,0
45,non-restrictive,ladle,4,0.022598870056497175,4.0,0
45,restrictive,dough,0,,,1
45,restrictive,glass,0,,,0
45,restrictive,hammer,0,,,0
45,restrictive,ladle,0,,,0
46,non-restrictive,carrot,29,0.232,4.0,1
46,non-restrictive,laddle,87,0.696,4.0,0
46,non-restrictive,peeler,0,0.0,4.0,0
46,non-restrictive,pot,9,0.072,4.0,0
46,restrictive,carrot,79,0.5163398692810458,4.0,1
46,restrictive,laddle,0,0.0,4.0,0
46,restrictive,peeler,8,0.05228758169934641,4.0,0
46,restrictive,pot,66,0.43137254901960786,4.0,0
47,non-restrictive,bow,105,0.6907894736842105,5.0,0
47,non-restrictive,gum,0,0.0,5.0,0
47,non-restrictive,stand,0,0.0,5.0,0
47,non-restrictive,violin,47,0.3092105263157895,5.0,1
47,restrictive,bow,56,0.42748091603053434,2.0,0
47,restrictive,gum,0,0.0,2.0,0
47,restrictive,stand,0,0.0,2.0,0
47,restrictive,violin,75,0.5725190839694656,2.0,1
48,non-restrictive,carpet,11,0.0728476821192053,3.0,1
48,non-restrictive,dustpan,0,0.0,3.0,0
48,non-restrictive,footstool,42,0.2781456953642384,3.0,0
48,non-restrictive,roller,98,0.6490066225165563,3.0,0
48,restrictive,carpet,141,0.5035714285714286,6.0,1
48,restrictive,dustpan,53,0.18928571428571428,6.0,0
48,restrictive,footstool,40,0.14285714285714285,6.0,0
48,restrictive,roller,46,0.16428571428571428,6.0,0
49,non-restrictive,balloon,105,0.31626506024096385,5.0,1
49,non-restrictive,flag,81,0.24397590361445784,5.0,0
49,non-restrictive,pouch,37,0.11144578313253012,5.0,0
49,non-restrictive,pump,109,0.32831325301204817,5.0,0
49,restrictive,balloon,0,0.0,1.0,1
49,restrictive,flag,0,0.0,1.0,0
49,restrictive,pouch,0,0.0,1.0,0
49,restrictive,pump,75,1.0,1.0,0
50,non-restrictive,envelope,51,0.2350230414746544,4.0,0
50,non-restrictive,rubberband,9,0.041474654377880185,4.0,0
50,non-restrictive,scissors,0,0.0,4.0,0
50,non-restrictive,stamp,157,0.7235023041474654,4.0,1
50,restrictive,envelope,66,0.24535315985130113,7.0,0
50,restrictive,rubberband,12,0.04460966542750929,7.0,0
50,restrictive,scissors,66,0.24535315985130113,7.0,0
50,restrictive,stamp,125,0.4646840148698885,7.0,1
