item	condition	subject_id	chosen_object	first_saccade_landing_aoi
30	non-restrictive	subject-2		
17	restrictive	subject-2		
14	non-restrictive	subject-2		
5	restrictive	subject-2		
46	non-restrictive	subject-2		
43	restrictive	subject-2		elsewhere
31	restrictive	subject-2		
39	restrictive	subject-2		
50	non-restrictive	subject-2		elsewhere
16	non-restrictive	subject-2		
20	non-restrictive	subject-2		
11	restrictive	subject-2		elsewhere
27	restrictive	subject-2		subject
1	restrictive	subject-2		
3	restrictive	subject-2		
13	restrictive	subject-2		
29	restrictive	subject-2		
8	non-restrictive	subject-2		
36	non-restrictive	subject-2		
25	restrictive	subject-2		
26	non-restrictive	subject-2		
34	non-restrictive	subject-2		
2	non-restrictive	subject-2		
44	non-restrictive	subject-2		
33	restrictive	subject-2		
15	restrictive	subject-2		
40	non-restrictive	subject-2		
21	restrictive	subject-2		subject
19	restrictive	subject-2		
9	restrictive	subject-2		
28	non-restrictive	subject-2		
7	restrictive	subject-2		
4	non-restrictive	subject-20		
11	restrictive	subject-20		elsewhere
29	restrictive	subject-20		
7	restrictive	subject-20		
22	non-restrictive	subject-20		
13	restrictive	subject-20		
6	non-restrictive	subject-20		elsewhere
12	non-restrictive	subject-20		
43	restrictive	subject-20		
24	non-restrictive	subject-20		
50	non-restrictive	subject-20		
1	restrictive	subject-20		
5	restrictive	subject-20		
37	restrictive	subject-20		
23	restrictive	subject-20		
42	non-restrictive	subject-20		subject
47	restrictive	subject-20		
27	restrictive	subject-20		
41	restrictive	subject-20		
10	non-restrictive	subject-20		
19	restrictive	subject-20		
44	non-restrictive	subject-20		
32	non-restrictive	subject-20		
26	non-restrictive	subject-20		
2	non-restrictive	subject-20		
49	restrictive	subject-20		
48	non-restrictive	subject-20		
30	non-restrictive	subject-20		
46	non-restrictive	subject-20		
31	restrictive	subject-20		
20	non-restrictive	subject-20		
34	non-restrictive	subject-20		
9	restrictive	subject-20		
16	non-restrictive	subject-20	folder	pos1
3	restrictive	subject-20		subject
45	restrictive	subject-20		
18	non-restrictive	subject-20		subject
28	non-restrictive	subject-20		
33	restrictive	subject-20		
38	non-restrictive	subject-20		
25	restrictive	subject-20		
21	restrictive	subject-20		
40	non-restrictive	subject-20		
8	non-restrictive	subject-20		
14	non-restrictive	subject-20		
15	restrictive	subject-20		
39	restrictive	subject-20		
36	non-restrictive	subject-20		
17	restrictive	subject-20		
4	non-restrictive	subject-20		
11	restrictive	subject-20		elsewhere
29	restrictive	subject-20		
7	restrictive	subject-20		
22	non-restrictive	subject-20		
13	restrictive	subject-20		
6	non-restrictive	subject-20		elsewhere
12	non-restrictive	subject-20		
43	restrictive	subject-20		
24	non-restrictive	subject-20		
50	non-restrictive	subject-20		
1	restrictive	subject-20		
5	restrictive	subject-20		
37	restrictive	subject-20		
23	restrictive	subject-20		
42	non-restrictive	subject-20		subject
47	restrictive	subject-20		
27	restrictive	subject-20		
41	restrictive	subject-20		
10	non-restrictive	subject-20		
19	restrictive	subject-20		
44	non-restrictive	subject-20		
32	non-restrictive	subject-20		
26	non-restrictive	subject-20		
2	non-restrictive	subject-20		
