subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,21,restrictive,27,2,aux,will,0.546,0.693,147.0,0.0,1.0,0.0,0.0,0.0,0.0,False,8
1,21,restrictive,27,3,ROOT,dim,0.798,0.987,189.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,21,restrictive,27,4,det,the,1.092,1.155,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,21,restrictive,27,5,dobj,lamp,1.302,2.415,1113.0,0.0,0.086957,0.913043,0.0,0.0,0.021277,False,114
1,22,non-restrictive,48,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,22,non-restrictive,48,1,nsubj,child,0.189,0.714,525.0,0.0,1.0,0.0,0.0,0.0,0.0,False,27
1,22,non-restrictive,48,2,aux,will,0.819,0.945,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2
1,22,non-restrictive,48,3,ROOT,carry,1.029,1.386,357.0,0.0,0.0,0.0,0.0,0.0,0.0,True,53
1,22,non-restrictive,48,4,det,the,1.512,1.575,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,22,non-restrictive,48,5,dobj,balloon,1.701,3.108,1407.0,0.0,0.070175,0.929825,0.0,0.0,0.451923,False,200
1,23,non-restrictive,0,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,23,non-restrictive,0,1,nsubj,boy,0.147,0.441,294.0,0.0,1.0,0.0,0.0,0.0,0.0,False,12
1,23,non-restrictive,0,2,aux,will,0.567,0.714,147.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,23,non-restrictive,0,3,ROOT,move,0.798,1.05,252.0,0.0,1.0,0.0,0.0,0.0,0.0,False,37
1,23,non-restrictive,0,4,det,the,1.134,1.176,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,23,non-restrictive,0,5,dobj,cake,1.281,2.478,1197.0,0.0,0.75,0.25,0.0,0.0,0.789474,False,173
1,24,non-restrictive,2,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,5
1,24,non-restrictive,2,1,nsubj,policeman,0.147,0.882,735.0,0.0,1.0,0.0,0.0,0.0,0.0,False,50
1,24,non-restrictive,2,2,aux,will,0.987,1.134,147.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,24,non-restrictive,2,3,ROOT,search,1.26,1.533,273.0,0.0,0.0,0.0,0.0,0.0,0.0,True,40
1,24,non-restrictive,2,4,det,the,1.659,1.722,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,24,non-restrictive,2,5,dobj,man,1.827,3.066,1239.0,0.051282,0.410256,0.538462,0.0,0.538462,0.277778,False,172
1,25,restrictive,17,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,1.0,0.0,False,1
1,25,restrictive,17,1,nsubj,man,0.168,0.483,315.0,0.0,0.0,0.0,0.0,0.0,0.0,True,35
