FPOGID,FPOGX,FPOGY,FPOGS,FPOGD,fix_end_s,clip_start_s,clip_end_s,clip_dur_ms,aoi,trial,condition,subject_nr,target_word,target_position
12915,0.41402818181818185,0.7189354545454546,7461.03906,0.12012,7461.15918,7461.03906,7461.09361,54.54999999983556,pos3,38,non-restrictive,6,lego,3
12946,0.7504975510204082,0.4564710204081633,7469.00977,0.28174,7469.29151,7469.224990000001,7469.29151,66.51999999940017,elsewhere,39,non-restrictive,6,candle,1
12947,0.2565346153846154,0.5112300000000001,7469.33838,0.08008,7469.41846,7469.33838,7469.41846,80.07999999972526,elsewhere,39,non-restrictive,6,candle,1
12948,0.23781684210526313,0.509057105263158,7469.42529,0.24756,7469.67285,7469.42529,7469.434990000001,9.700000000520959,elsewhere,39,non-restrictive,6,candle,1
12978,0.79746875,0.352358125,7477.29541,0.10059,7477.396,7477.29541,7477.396,100.59000000001106,pos1,40,non-restrictive,6,radio,1
12979,0.8051130000000001,0.40969350000000004,7477.40283,0.12744,7477.53027,7477.40283,7477.53027,127.44000000020606,pos1,40,non-restrictive,6,radio,1
12980,0.832350655737705,0.4520618032786885,7477.53662,0.40186,7477.93848,7477.53662,7477.56625,29.62999999999738,pos1,40,non-restrictive,6,radio,1
13003,0.66372,0.27609142857142854,7485.07227,0.18115,7485.25342,7485.128720000001,7485.25342,124.69999999939319,elsewhere,41,non-restrictive,6,carrot,4
13004,0.5782521212121212,0.30673757575757576,7485.25977,0.21436,7485.47413,7485.25977,7485.401720000001,141.95000000108848,elsewhere,41,non-restrictive,6,carrot,4
13030,0.5077068932038835,0.17078417475728155,7497.87939,0.64307,7498.52246,7498.4577899999995,7498.52246,64.67000000066037,subject,42,non-restrictive,6,safe,2
13031,0.6214250666666666,0.6690208000000001,7498.56934,0.47559,7499.04493,7498.56934,7498.73079,161.4499999996042,elsewhere,42,non-restrictive,6,safe,2
13058,0.826276171875,0.4090828125,7507.16309,0.85059,7508.01368,7507.39383,7507.6458299999995,251.99999999949796,pos1,43,restrictive,6,dog,1
13079,0.7917072,0.47306159999999997,7515.77686,0.16064,7515.9375,7515.84012,7515.9375,97.38000000015745,pos1,44,non-restrictive,6,lamp,2
13080,0.8059425,0.4346335869565217,7515.94434,0.58984,7516.53418,7515.94434,7516.11312,168.77999999996973,pos1,44,non-restrictive,6,lamp,2
13106,0.4388057142857143,0.6023328571428571,7525.08105,0.08691,7525.16796,7525.08105,7525.16796,86.90999999998894,elsewhere,45,restrictive,6,flower,4
13107,0.38643176470588236,0.6033420588235294,7525.17432,0.22119,7525.39551,7525.17432,7525.33877,164.45000000021537,elsewhere,45,restrictive,6,flower,4
13131,0.47318553571428573,0.12201196428571429,7532.95801,0.36816,7533.32617,7533.09209,7533.32617,234.08000000017637,subject,46,restrictive,6,book,4
13132,0.38538636363636364,0.37447318181818184,7533.33301,0.10742,7533.440430000001,7533.33301,7533.34409,11.07999999931053,elsewhere,46,restrictive,6,book,4
13155,0.8142378151260504,0.45645705882352944,7540.72803,0.79004,7541.51807,7540.98566,7541.25866,273.00000000013824,pos1,47,non-restrictive,6,dice,1
13184,0.45148857142857146,0.6054028571428571,7549.11426,0.16064,7549.2749,7549.2117,7549.2749,63.20000000050641,elsewhere,48,restrictive,6,football,1
13185,0.7700092857142857,0.47736619047619044,7549.30176,0.27441,7549.57617,7549.30176,7549.4847,182.93999999968946,pos1,48,restrictive,6,football,1
13226,0.5392826086956521,0.16812304347826088,7564.57373,0.28125,7564.85498,7564.7284899999995,7564.85498,126.49000000055821,elsewhere,49,non-restrictive,6,newspaper,4
13227,0.8131525806451614,0.41300000000000003,7564.88135,0.20117,7565.08252,7564.88135,7565.00149,120.13999999999214,pos1,49,non-restrictive,6,newspaper,4
