,stimuliId,condition,obj,avg_percent,n_participants
384,49,non-restrictive,balloon,1.0,2
385,49,non-restrictive,envelope,0.0,1
386,49,non-restrictive,flag,0.0,2
387,49,non-restrictive,pouch,0.0,2
388,49,non-restrictive,pump,0.0,2
389,49,non-restrictive,rubberband,0.0,1
390,49,non-restrictive,scissors,0.0,1
391,49,non-restrictive,stamp,0.0,1
392,49,restrictive,balloon,0.17857142857142855,2
393,49,restrictive,flag,0.0,2
394,49,restrictive,pouch,0.32142857142857145,2
395,49,restrictive,pump,0.0,2
396,50,non-restrictive,envelope,0.0,2
397,50,non-restrictive,rubberband,0.0,2
398,50,non-restrictive,scissors,0.0,2
399,50,non-restrictive,stamp,0.0,2
400,50,restrictive,balloon,0.0,1
401,50,restrictive,envelope,0.0,2
402,50,restrictive,flag,0.0,1
403,50,restrictive,pouch,0.0,1
404,50,restrictive,pump,0.0,1
405,50,restrictive,rubberband,0.0,2
406,50,restrictive,scissors,0.0,2
407,50,restrictive,stamp,0.0,2
