id,word,SentenceRole,WordRole,start,end,sentence
24,rabbit,non-restrictive,dobj,1.89,3.066,The girl will lift the rabbit
25,The,restrictive,det,0.462,0.525,The man will paint the canvas
25,man,restrictive,nsubj,0.63,0.945,The man will paint the canvas
25,will,restrictive,aux,1.05,1.155,The man will paint the canvas
25,paint,restrictive,ROOT,1.239,1.512,The man will paint the canvas
25,the,restrictive,det,1.575,1.617,The man will paint the canvas
25,canvas,restrictive,dobj,1.701,3.087,The man will paint the canvas
25,The,non-restrictive,det,0.462,0.525,The man will move the canvas
25,man,non-restrictive,nsubj,0.63,0.945,The man will move the canvas
25,will,non-restrictive,aux,1.071,1.197,The man will move the canvas
25,move,non-restrictive,ROOT,1.281,1.512,The man will move the canvas
25,the,non-restrictive,det,1.575,1.638,The man will move the canvas
25,canvas,non-restrictive,dobj,1.701,3.108,The man will move the canvas
26,The,restrictive,det,0.462,0.525,The woman will blow out the candle
26,woman,restrictive,nsubj,0.651,0.987,The woman will blow out the candle
26,will,restrictive,aux,1.134,1.239,The woman will blow out the candle
26,blow,restrictive,ROOT,1.323,1.596,The woman will blow out the candle
26,out,restrictive,prt,1.764,1.869,The woman will blow out the candle
26,the,restrictive,det,1.932,1.995,The woman will blow out the candle
26,candle,restrictive,dobj,2.058,3.276,The woman will blow out the candle
26,The,non-restrictive,det,0.462,0.525,The woman will grab the candle
26,woman,non-restrictive,nsubj,0.63,0.945,The woman will grab the candle
26,will,non-restrictive,aux,1.05,1.176,The woman will grab the candle
26,grab,non-restrictive,ROOT,1.701,2.037,The woman will grab the candle
26,the,non-restrictive,det,2.121,2.184,The woman will grab the candle
26,candle,non-restrictive,dobj,2.247,3.507,The woman will grab the candle
27,The,restrictive,det,0.462,0.525,The boy will dim the lamp
27,boy,restrictive,nsubj,0.63,0.882,The boy will dim the lamp
27,will,restrictive,aux,0.987,1.113,The boy will dim the lamp
27,dim,restrictive,ROOT,1.197,1.386,The boy will dim the lamp
27,the,restrictive,det,1.491,1.533,The boy will dim the lamp
27,lamp,restrictive,dobj,1.659,2.751,The boy will dim the lamp
27,The,non-restrictive,det,0.462,0.525,The boy will touch the lamp
27,boy,non-restrictive,nsubj,0.63,0.882,The boy will touch the lamp
27,will,non-restrictive,aux,0.987,1.113,The boy will touch the lamp
27,touch,non-restrictive,ROOT,1.197,1.47,The boy will touch the lamp
27,the,non-restrictive,det,1.575,1.638,The boy will touch the lamp
27,lamp,non-restrictive,dobj,1.743,2.793,The boy will touch the lamp
28,The,restrictive,det,0.441,0.525,The cat will drink the milk
28,cat,restrictive,nsubj,0.63,0.966,The cat will drink the milk
28,will,restrictive,aux,1.071,1.197,The cat will drink the milk
28,drink,restrictive,ROOT,1.281,1.533,The cat will drink the milk
28,the,restrictive,det,1.617,1.68,The cat will drink the milk
28,milk,restrictive,dobj,1.785,2.856,The cat will drink the milk
28,The,non-restrictive,det,0.462,0.504,The cat will push the milk
28,cat,non-restrictive,nsubj,0.609,0.924,The cat will push the milk
28,will,non-restrictive,aux,1.008,1.134,The cat will push the milk
28,push,non-restrictive,ROOT,1.218,1.512,The cat will push the milk
28,the,non-restrictive,det,1.596,1.659,The cat will push the milk
28,milk,non-restrictive,dobj,1.764,2.835,The cat will push the milk
29,The,restrictive,det,0.462,0.525,The grandmother will read the newspaper
29,grandmother,restrictive,nsubj,0.609,1.281,The grandmother will read the newspaper
29,will,restrictive,aux,1.575,1.701,The grandmother will read the newspaper
29,read,restrictive,ROOT,1.806,2.016,The grandmother will read the newspaper
29,the,restrictive,det,2.1,2.142,The grandmother will read the newspaper
29,newspaper,restrictive,dobj,2.268,3.066,The grandmother will read the newspaper
29,The,non-restrictive,det,0.441,0.504,The grandmother will turn the newspaper
29,grandmother,non-restrictive,nsubj,0.609,1.302,The grandmother will turn the newspaper
29,will,non-restrictive,aux,1.701,1.827,The grandmother will turn the newspaper
29,turn,non-restrictive,ROOT,2.268,2.499,The grandmother will turn the newspaper
29,the,non-restrictive,det,2.583,2.646,The grandmother will turn the newspaper
29,newspaper,non-restrictive,dobj,2.772,4.326,The grandmother will turn the newspaper
30,The,restrictive,det,0.462,0.525,The girl will roll the dice
30,girl,restrictive,nsubj,0.63,0.945,The girl will roll the dice
30,will,restrictive,aux,1.092,1.218,The girl will roll the dice
30,roll,restrictive,ROOT,1.365,1.596,The girl will roll the dice
30,the,restrictive,det,1.68,1.743,The girl will roll the dice
30,dice,restrictive,dobj,1.869,3.066,The girl will roll the dice
30,The,non-restrictive,det,0.462,0.525,The girl will grab the dice
30,girl,non-restrictive,nsubj,0.63,0.945,The girl will grab the dice
30,will,non-restrictive,aux,1.071,1.197,The girl will grab the dice
30,grab,non-restrictive,ROOT,1.281,1.638,The girl will grab the dice
30,the,non-restrictive,det,1.743,1.806,The girl will grab the dice
30,dice,non-restrictive,dobj,1.911,3.087,The girl will grab the dice
31,The,restrictive,det,0.462,0.525,The woman will open the bottle
31,woman,restrictive,nsubj,0.651,0.987,The woman will open the bottle
31,will,restrictive,aux,1.113,1.239,The woman will open the bottle
31,open,restrictive,ROOT,1.428,1.722,The woman will open the bottle
31,the,restrictive,det,1.806,1.869,The woman will open the bottle
31,bottle,restrictive,dobj,1.953,3.087,The woman will open the bottle
31,The,non-restrictive,det,0.462,0.525,The woman will examine the bottle
31,woman,non-restrictive,nsubj,0.672,1.008,The woman will examine the bottle
31,will,non-restrictive,aux,1.155,1.26,The woman will examine the bottle
31,examine,non-restrictive,ROOT,1.344,1.953,The woman will examine the bottle
31,the,non-restrictive,det,2.037,2.1,The woman will examine the bottle
31,bottle,non-restrictive,dobj,2.184,3.318,The woman will examine the bottle
32,The,restrictive,det,0.462,0.525,The woman will brew the beer
32,woman,restrictive,nsubj,0.672,0.987,The woman will brew the beer
32,will,restrictive,aux,1.092,1.218,The woman will brew the beer
32,brew,restrictive,ROOT,1.302,1.533,The woman will brew the beer
32,the,restrictive,det,1.638,1.701,The woman will brew the beer
32,beer,restrictive,dobj,1.827,2.982,The woman will brew the beer
32,The,non-restrictive,det,0.462,0.525,The woman will carry the beer
32,woman,non-restrictive,nsubj,0.63,0.945,The woman will carry the beer
32,will,non-restrictive,aux,1.05,1.155,The woman will carry the beer
32,carry,non-restrictive,ROOT,1.239,1.596,The woman will carry the beer
32,the,non-restrictive,det,1.722,1.785,The woman will carry the beer
32,beer,non-restrictive,dobj,1.89,3.045,The woman will carry the beer
33,The,restrictive,det,0.441,0.525,The boy will unzip the suitcase
33,boy,restrictive,nsubj,0.63,0.903,The boy will unzip the suitcase
33,will,restrictive,aux,1.008,1.134,The boy will unzip the suitcase
33,unzip,restrictive,ROOT,1.323,1.722,The boy will unzip the suitcase
33,the,restrictive,det,1.848,1.911,The boy will unzip the suitcase
33,suitcase,restrictive,dobj,2.058,3.423,The boy will unzip the suitcase
33,The,non-restrictive,det,0.462,0.525,The boy will open the suitcase
33,boy,non-restrictive,nsubj,0.63,0.903,The boy will open the suitcase
33,will,non-restrictive,aux,1.008,1.134,The boy will open the suitcase
33,open,non-restrictive,ROOT,1.302,1.575,The boy will open the suitcase
33,the,non-restrictive,det,1.638,1.701,The boy will open the suitcase
33,suitcase,non-restrictive,dobj,1.848,3.276,The boy will open the suitcase
34,The,restrictive,det,0.441,0.525,The boy will switch on the radio
34,boy,restrictive,nsubj,0.63,0.903,The boy will switch on the radio
34,will,restrictive,aux,1.008,1.134,The boy will switch on the radio
34,switch,restrictive,ROOT,1.281,1.596,The boy will switch on the radio
34,on,restrictive,prep,1.68,1.722,The boy will switch on the radio
34,the,restrictive,det,1.764,1.806,The boy will switch on the radio
34,radio,restrictive,pobj,1.911,3.255,The boy will switch on the radio
34,The,non-restrictive,det,0.462,0.525,The boy will move the radio
34,boy,non-restrictive,nsubj,0.63,0.903,The boy will move the radio
34,will,non-restrictive,aux,1.008,1.134,The boy will move the radio
34,move,non-restrictive,ROOT,1.239,1.491,The boy will move the radio
34,the,non-restrictive,det,1.575,1.617,The boy will move the radio
34,radio,non-restrictive,dobj,1.764,3.066,The boy will move the radio
35,The,restrictive,det,0.441,0.504,The girl will apply the mascara
35,girl,restrictive,nsubj,0.63,0.966,The girl will apply the mascara
35,will,restrictive,aux,1.092,1.218,The girl will apply the mascara
35,apply,restrictive,ROOT,1.281,1.68,The girl will apply the mascara
